proteinId	description	modelnotes	defline
1002396	DOC2-DOC2-DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1002571	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1002633	GH26-DOC2-DOC2		Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
1003231	GH5_4-GH5_4-GH5_4-DOC2-DOC2	fragment N-term;	Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1003352	DOC2-DOC2-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1003359	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1003412	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1003546	GH10-CBM29-CBM29-CBM29-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 29  / Non-Catalytic Module Family DOC2
1003974	DOC2-DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
1004662	GT2		Glycosyltransferase Family 2 protein
1005628	GT58		Glycosyltransferase Family 58 protein
1006221	GH43_4	fragment N-term / C-term;	Glycoside Hydrolase Family 43 protein
1006448	GH3		Glycoside Hydrolase Family 3 protein
1006459	CE4		Carbohydrate Esterase Family 4 protein
1006470	GH9	fragment N-term;	Glycoside Hydrolase Family 9 protein
1006492	CBM52-CBM52-GH16_3		Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 16 protein
1006591	GH16_21		Glycoside Hydrolase Family 16 protein
1006596	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
1006683	GH115	fragment N-term;	Glycoside Hydrolase Family 115 protein
1006827	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1006913	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1007483	CBM52-CBM52-GH16_3		Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 16 protein
1007747	GH114		Glycoside Hydrolase Family 114 protein
1007824	CBM48		Carbohydrate-Binding Module Family 48 protein
1008169	DOC2-DOC2		Non-Catalytic Module Family DOC2
1008382	CBM1-PL1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1008489	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
1008534	GH1		Glycoside Hydrolase Family 1 protein
1008746	DOC2-DOC2		Non-Catalytic Module Family DOC2
1008819	CBM18-CBM18-CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1009300	CE6-CBM13-DOC2-DOC2		Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1009309	DOC2-DOC2		Non-Catalytic Module Family DOC2
1009640	CE4		Carbohydrate Esterase Family 4 protein
1009672	DOC2-DOC2-GH43_29-GH43_29-GH43_29-GH43_29		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 43 protein
1009699	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1010410	GH20		Glycoside Hydrolase Family 20 protein
1010833	CE4		Carbohydrate Esterase Family 4 protein
1011228	DOC2-DOC2-DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1011239	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1011309	GH43_16-CBM6-DOC2-DOC2		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Non-Catalytic Module Family DOC2
1011902	CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1011920	DOC2-DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
1012277	CE4		Carbohydrate Esterase Family 4 protein
1012937	GH3		Glycoside Hydrolase Family 3 protein
1012953	GH11		Glycoside Hydrolase Family 11 protein
1013244	CE4		Carbohydrate Esterase Family 4 protein
1013609	GH11-GH11-GH11-GH11-GH11-CE3-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate Esterase Family 3  / Carbohydrate-Binding Module Family 1 protein
1014009	GT39		Glycosyltransferase Family 39 protein
1014239	DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1014364	DOC2-DOC2		Non-Catalytic Module Family DOC2
1014585	CBM10-GH45		Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
1014659	GT20		Glycosyltransferase Family 20 protein
1015149	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1015189	PL3_2		Polysaccharide Lyase Family 3 protein
1015229	GH114		Glycoside Hydrolase Family 114 protein
1015825	CE4-CBM18-CBM18		Carbohydrate Esterase Family 4  / Carbohydrate-Binding Module Family 18 protein
1016327	GH10-CBM1		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1016901	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1017468	DOC2		Non-Catalytic Module Family DOC2
1018204	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
1018245	CE6-DOC2-DOC2		Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
1018259	DOC2-DOC2		Non-Catalytic Module Family DOC2
1019140	CBM18		Carbohydrate-Binding Module Family 18 protein
1021065	CE6-CBM1		Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
1021349	CBM18		Carbohydrate-Binding Module Family 18 protein
1021565	CBM1		Carbohydrate-Binding Module Family 1 protein
1021960	CBM18		Carbohydrate-Binding Module Family 18 protein
1021962	CBM18		Carbohydrate-Binding Module Family 18 protein
1022204	GH10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1022217	DOC2-DOC2-DOC2-CBM29-CBM29		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 29 protein
1022252	GH5_5-CBM10-CBM10-GH5_5-CBM10-CBM10-DOC2-DOC2		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10  / Non-Catalytic Module Family DOC2
1022355	DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1022365	DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1022427	CBM18		Carbohydrate-Binding Module Family 18 protein
1022639	GH9-CBM13-GH43_19-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 9  / Carbohydrate-Binding Module Family 13  / Glycoside Hydrolase Family 43  / Non-Catalytic Module Family DOC2
1022653	CBM1-GH43_37-CBM61		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 61 protein
1022776	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1022976	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1023344	PL1_6	(fragment)  splicing problem;	Polysaccharide Lyase Family 1 protein
1024000	GH5_4-DOC2-DOC2		Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1024730	GH9-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
1024737	GH9-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
1024805	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1024938	GH47		Glycoside Hydrolase Family 47 protein
1025421	GT2	(fragment)  splicing problem;	Glycosyltransferase Family 2 protein
1025488	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1025532	DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1025667	CE4		Carbohydrate Esterase Family 4 protein
1025940	GH10		Glycoside Hydrolase Family 10 protein
1025970	CBM1		Carbohydrate-Binding Module Family 1 protein
1026025	DOC2-DOC2		Non-Catalytic Module Family DOC2
1026028	GH39-CBM13		Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13 protein
1026046	GH11-GH11-DOC2-DOC2		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1026079	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-GH18		Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
1026773	DOC2-DOC2-GH16		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 16 protein
1027169	GH5_7		Glycoside Hydrolase Family 5 protein
1027182	DOC2-DOC2		Non-Catalytic Module Family DOC2
1027298	DOC2-DOC2-DOC2-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1027304	DOC2-CBM1-CBM1-CBM1-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1027689	PL1		Polysaccharide Lyase Family 1 protein
1027739	CBM1-CE4		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
1027772	DOC2-DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
1027894	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
1027898	GH11-GH11-DOC2		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1027907	GH11-DOC2-DOC2-GH11-GH11-CE4		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 4 protein
1027971	CBM1-CBM1-CBM1-CBM1		Carbohydrate-Binding Module Family 1 protein
1028237	DOC2-DOC2		Non-Catalytic Module Family DOC2
1028674	CBM18		Carbohydrate-Binding Module Family 18 protein
1028794	GH114		Glycoside Hydrolase Family 114 protein
1029108	CBM29-CBM29-CBM29-CBM1		Carbohydrate-Binding Module Family 29  / Carbohydrate-Binding Module Family 1 protein
1029415	GT32		Glycosyltransferase Family 32 protein
1029427	GH1		Glycoside Hydrolase Family 1 protein
1029430	GH1		Glycoside Hydrolase Family 1 protein
1029436	CBM18		Carbohydrate-Binding Module Family 18 protein
1029897	GH74-DOC2-DOC2		Glycoside Hydrolase Family 74  / Non-Catalytic Module Family DOC2
1030134	GH43_16-CBM6		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
1030154	GH1		Glycoside Hydrolase Family 1 protein
1030301	DOC2-DOC2		Non-Catalytic Module Family DOC2
1030640	DOC2-DOC2-GH30_5		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 30 protein
1030652	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1030874	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1030984	CBM26-GH31		Carbohydrate-Binding Module Family 26  / Glycoside Hydrolase Family 31 protein
1030993	DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
1031313	CBM18		Carbohydrate-Binding Module Family 18 protein
1031455	CBM87-CE18-CBM1-CBM1		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18  / Carbohydrate-Binding Module Family 1 protein
1031673	GT2		Glycosyltransferase Family 2 protein
1031677	GT101		Glycosyltransferase Family 101 protein
1032046	CBM1-PL1		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
1032224	GH10-CBM29		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 29 protein
1032413	DOC2-DOC2		Non-Catalytic Module Family DOC2
1032442	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1032459	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1032465	CBM1-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1032838	GT34	fragment C-term;	Glycosyltransferase Family 34 protein
1032921	GH32		Glycoside Hydrolase Family 32 protein
1032943	GH32		Glycoside Hydrolase Family 32 protein
1032978	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1032987	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1033236	CBM18		Carbohydrate-Binding Module Family 18 protein
1033842	CBM35-GH26-DOC2-DOC2		Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
1033919	GH11-GH11-DOC2-DOC2		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1033986	EXPN-CBM63		Distantly related to plant expansins / Carbohydrate-Binding Module Family 63 protein
1034280	DOC2-DOC2-DOC2-GH9		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 9 protein
1034394	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1034396	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1035177	GH10		Glycoside Hydrolase Family 10 protein
1035498	GH3		Glycoside Hydrolase Family 3 protein
1035502	GH3		Glycoside Hydrolase Family 3 protein
1035513	GH3		Glycoside Hydrolase Family 3 protein
1035541	DOC2-DOC2	(fragment)  splicing problem;	Non-Catalytic Module Family DOC2
1036070	GH3		Glycoside Hydrolase Family 3 protein
1036859	DOC2		Non-Catalytic Module Family DOC2
1037044	CBM50-CBM50-CE4		Carbohydrate-Binding Module Family 50  / Carbohydrate Esterase Family 4 protein
1037367	GT39		Glycosyltransferase Family 39 protein
1037785	GH43_1		Glycoside Hydrolase Family 43 protein
1037898	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1037974	DOC2-DOC2		Non-Catalytic Module Family DOC2
1038028	CE6-CBM1		Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
1038131	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1038148	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1038559	GT8		Glycosyltransferase Family 8 protein
1038727	DOC2-DOC2		Non-Catalytic Module Family DOC2
1039032	GT4		Glycosyltransferase Family 4 protein
1039230	CBM35-GH26-DOC2-DOC2-DOC2-DOC2-DOC2		Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
1039236	CBM35-GH26-DOC2-DOC2		Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
1039355	DOC2-GH26-DOC2		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
1039573	GH11-GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1039583	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1040286	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1040292	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1040450	Myosin_motor-GT2		Glycosyltransferase Family 2 protein
1040850	GH114		Glycoside Hydrolase Family 114 protein
1041221	DOC2-DOC2-CBM1-GH45		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 45 protein
1041627	GT8		Glycosyltransferase Family 8 protein
1041689	GT10	fragment C-term;	Glycosyltransferase Family 10 protein
1041721	GT101		Glycosyltransferase Family 101 protein
1041756	GT2		Glycosyltransferase Family 2 protein
1042036	DOC2-DOC2		Non-Catalytic Module Family DOC2
1042247	DOC2-DOC2-DOC2-CBM29		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 29 protein
1042592	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1042601	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1042699	CE4		Carbohydrate Esterase Family 4 protein
1042703	CE4		Carbohydrate Esterase Family 4 protein
1042711	CE4		Carbohydrate Esterase Family 4 protein
1042712	CE4		Carbohydrate Esterase Family 4 protein
1042796	GT71		Glycosyltransferase Family 71 protein
1043053	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1043394	GH11-GH11-GH11-DOC2-DOC2		Glycoside Hydrolase Family 11  / Non-Catalytic Module Family DOC2
1043723	CE15-DOC2-DOC2		Carbohydrate Esterase Family 15  / Non-Catalytic Module Family DOC2
1043738	GH10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1043740	GH10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1043858	DOC2-DOC2		Non-Catalytic Module Family DOC2
1043862	DOC2-DOC2		Non-Catalytic Module Family DOC2
1043868	DOC2-DOC2		Non-Catalytic Module Family DOC2
1043990	GH9-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
1044074	GH13_28-CBM26		Glycoside Hydrolase Family 13  / Carbohydrate-Binding Module Family 26 protein
1044083	DOC2-GH26-GH26-DOC2		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
1044338	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1044348	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1044493	GT1		Glycosyltransferase Family 1 protein
1045074	GT41		Glycosyltransferase Family 41 protein
1045103	GH2-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1045106	GH2-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1045456	GH43_2-CBM6		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
1045621	CBM48-GH13_8		Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
1046051	CE4		Carbohydrate Esterase Family 4 protein
1046116	DOC2-DOC2-DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
1046699	DOC2-DOC2		Non-Catalytic Module Family DOC2
1047105	CBM48		Carbohydrate-Binding Module Family 48 protein
1047177	DOC2-DOC2-DOC2-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1047215	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1047272	GH11-CBM1		Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
1047654	DOC2-DOC2-CBM1-CBM1-CBM1-CBM1-CBM1-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1047688	DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
1047952	CBM18-CBM18-CBM18-CBM18-GH18		Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
1048004	GH39-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1048016	GH9-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
1048538	GT17		Glycosyltransferase Family 17 protein
1048726	GT34		Glycosyltransferase Family 34 protein
1048786	DOC2-DOC2-GH43_29		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 43 protein
1048846	GT8		Glycosyltransferase Family 8 protein
1049051	GH73		Glycoside Hydrolase Family 73 protein
1049188	CE8		Carbohydrate Esterase Family 8 protein
1049332	DOC2		Non-Catalytic Module Family DOC2
1049704	DOC2		Non-Catalytic Module Family DOC2
1049876	CE4		Carbohydrate Esterase Family 4 protein
1049972	GH13_25-GH133		Glycoside Hydrolase Family 13  / Glycoside Hydrolase Family 133 protein
1050086	GH114-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 114  / Non-Catalytic Module Family DOC2
1050193	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1050236	GH114		Glycoside Hydrolase Family 114 protein
1050239	GH114-DOC2-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 114  / Non-Catalytic Module Family DOC2
1050394	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1050407	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1050431	DOC2-DOC2		Non-Catalytic Module Family DOC2
1050693	GH3		Glycoside Hydrolase Family 3 protein
1051129	GT4		Glycosyltransferase Family 4 protein
1051333	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
1051461	GH5_5-CBM10-CBM10-CBM1		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10 protein
1051790	DOC2-DOC2-DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
1051819	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1051916	CE8-CBM1		Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
1051950	GH8-DOC2		Glycoside Hydrolase Family 8  / Non-Catalytic Module Family DOC2
1051988	GT3		Glycosyltransferase Family 3 protein
1052770	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1052772	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1052784	CBM1		Carbohydrate-Binding Module Family 1 protein
1052887	DOC2-DOC2		Non-Catalytic Module Family DOC2
1052907	GH31		Glycoside Hydrolase Family 31 protein
1052950	DOC2-DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
1052952	DOC2-DOC2-GH45		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 45 protein
1052961	GT34		Glycosyltransferase Family 34 protein
1053378	DOC2-DOC2-DOC2-GH5_1		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
1053734	GT71		Glycosyltransferase Family 71 protein
1053922	GH3		Glycoside Hydrolase Family 3 protein
1053929	CE4		Carbohydrate Esterase Family 4 protein
1053968	CBM1-GH43_4		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 43 protein
1054138	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1054196	GH3		Glycoside Hydrolase Family 3 protein
1054205	GH3		Glycoside Hydrolase Family 3 protein
1054371	DOC2-DOC2-CBM13-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Carbohydrate Esterase Family 1 protein
1054373	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1054465	GH43_35		Glycoside Hydrolase Family 43 protein
1054488	DOC2-DOC2		Non-Catalytic Module Family DOC2
1054524	DOC2-DOC2		Non-Catalytic Module Family DOC2
1054743	CE4		Carbohydrate Esterase Family 4 protein
1054997	GT2	(fragment)  splicing problem;	Glycosyltransferase Family 2 protein
1055123	GH43_16-CBM6-CBM13-DOC2		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1055188	GH3		Glycoside Hydrolase Family 3 protein
1055363	GH124-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 124  / Non-Catalytic Module Family DOC2
1055371	GT39		Glycosyltransferase Family 39 protein
1055489	GT34		Glycosyltransferase Family 34 protein
1055594	DOC2-DOC2		Non-Catalytic Module Family DOC2
1055610	GT39		Glycosyltransferase Family 39 protein
1055807	CBM52-GH64		Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 64 protein
1055809	CBM52-GH64		Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 64 protein
1055870	GT34		Glycosyltransferase Family 34 protein
1056215	CBM18		Carbohydrate-Binding Module Family 18 protein
1056227	GH5_4		Glycoside Hydrolase Family 5 protein
1056249	GH1		Glycoside Hydrolase Family 1 protein
1056260	GH39-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 39  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1056544	DOC2-DOC2-CBM1-GH45		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 45 protein
1057485	DOC2-DOC2-CE15		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 15 protein
1057549	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1057651	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1057764	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1058331	DOC2-DOC2-GH95		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 95 protein
1058409	GH11		Glycoside Hydrolase Family 11 protein
1058754	CE8		Carbohydrate Esterase Family 8 protein
1058940	GH43_16-CBM6-DOC2-DOC2		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Non-Catalytic Module Family DOC2
1059004	GT15	fragment C-term;	Glycosyltransferase Family 15 protein
1059070	CBM18		Carbohydrate-Binding Module Family 18 protein
1059077	DOC2-CBM13-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 13  / Carbohydrate Esterase Family 1 protein
1059104	CBM18-CE1		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 1 protein
1059152	CE2		Carbohydrate Esterase Family 2 protein
1059571	PL3_2		Polysaccharide Lyase Family 3 protein
1059574	PL3_2		Polysaccharide Lyase Family 3 protein
1059583	CE8		Carbohydrate Esterase Family 8 protein
1059676	CE15-DOC2-DOC2		Carbohydrate Esterase Family 15  / Non-Catalytic Module Family DOC2
1059887	CE4		Carbohydrate Esterase Family 4 protein
1059893	CBM18-CBM18-CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1060805	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1060845	GT34		Glycosyltransferase Family 34 protein
1061004	DOC2		Non-Catalytic Module Family DOC2
1061532	CBM1-PL3_2		Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 3 protein
1061808	GH3		Glycoside Hydrolase Family 3 protein
1061928	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1062607	GT34		Glycosyltransferase Family 34 protein
1062936	CBM18		Carbohydrate-Binding Module Family 18 protein
1063104	DOC2-DOC2		Non-Catalytic Module Family DOC2
1063397	DOC2-DOC2		Non-Catalytic Module Family DOC2
1063605	CBM18		Carbohydrate-Binding Module Family 18 protein
1063781	DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1063940	GH10		Glycoside Hydrolase Family 10 protein
1064080	GT71		Glycosyltransferase Family 71 protein
1064137	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1064267	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
