Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0KJK9	SUCC_AERHH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC AHA_1929	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)	388
P66867	SUCC_BRUME	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BMEI0138	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	398
Q63WW2	SUCC_BURPS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BPSL0779	Burkholderia pseudomallei (strain K96243)	388
Q4KFY6	SUCC_PSEF5	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PFL_1721	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	388
Q49X32	SUCC_STAS1	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SSP1521	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)	388
A4IM83	SUCC_GEOTN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC GTNG_1061	Geobacillus thermodenitrificans (strain NG80-2)	386
Q88FB2	SUCC_PSEPK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PP_4186 PP4186	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440)	388
C5BL83	SUCC_TERTT	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC TERTU_2519	Teredinibacter turnerae (strain ATCC 39867 / T7901)	389
Q6FYD1	SUCC_BARQU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BQ13440	Bartonella quintana (strain Toulouse) (Rochalimaea quintana)	398
B2UMH5	SUCC_AKKM8	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Amuc_1713	Akkermansia muciniphila (strain ATCC BAA-835 / Muc)	393
A8A8L8	SUCC_IGNH4	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Igni_0086	Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125)	376
Q6G1M1	SUCC_BARHE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BH16560	Bartonella henselae (strain ATCC 49882 / DSM 28221 / Houston 1) (Rochalimaea henselae)	398
Q5E6M6	SUCC_ALIF1	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC VF_0825	Aliivibrio fischeri (strain ATCC 700601 / ES114) (Vibrio fischeri)	388
Q5WFP4	SUCC_BACSK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ABC2281	Bacillus clausii (strain KSM-K16)	386
B1JAV3	SUCC_PSEPW	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PputW619_3509	Pseudomonas putida (strain W619)	388
Q3IGW5	SUCC_PSEHT	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PSHAa1645	Pseudoalteromonas haloplanktis (strain TAC 125)	388
B2GM49	SUCC_KOCRD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC KRH_18180	Kocuria rhizophila (strain ATCC 9341 / DSM 348 / NBRC 103217 / DC2201)	389
Q5QU21	SUCC_IDILO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC IL1501	Idiomarina loihiensis (strain ATCC BAA-735 / DSM 15497 / L2-TR)	388
Q6NDB7	SUCC_RHOPA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RPA0191	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	398
B1W3P6	SUCC_STRGG	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SGR_2723	Streptomyces griseus subsp. griseus (strain JCM 4626 / NBRC 13350)	393
Q87RE8	SUCC_VIBPA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC VP0849	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	388
C6DCD6	SUCC_PECCP	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PC1_1238	Pectobacterium carotovorum subsp. carotovorum (strain PC1)	388
Q2RV33	SUCC_RHORT	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Rru_A1211	Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIB 8255 / S1)	399
Q81WK0	SUCC_BACAN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BA_3974 GBAA_3974 BAS3687	Bacillus anthracis	386
B2UGE2	SUCC_RALPJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Rpic_0474	Ralstonia pickettii (strain 12J)	388
A6WXE8	SUCC_OCHA4	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Oant_0931	Ochrobactrum anthropi (strain ATCC 49188 / DSM 6882 / JCM 21032 / NBRC 15819 / NCTC 12168)	398
B6JE33	SUCC_OLICO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC OCAR_6554 OCA5_c15070	Oligotropha carboxidovorans (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5)	398
Q4L5U8	SUCC_STAHJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SH1668	Staphylococcus haemolyticus (strain JCSC1435)	388
A8FD73	SUCC_BACP2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BPUM_1507	Bacillus pumilus (strain SAFR-032)	386
Q9Z6T6	SUCC_CHLPN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CPn_0973 CP_0886 CpB1009	Chlamydia pneumoniae (Chlamydophila pneumoniae)	386
A4YKC6	SUCC_BRASO	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BRADO0404	Bradyrhizobium sp. (strain ORS 278)	398
C1DM53	SUCC_AZOVD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Avin_29740	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	389
C1CV60	SUCC_DEIDV	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Deide_11710	Deinococcus deserti (strain VCD115 / DSM 17065 / LMG 22923)	385
A6GY30	SUCC_FLAPJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC FP0908	Flavobacterium psychrophilum (strain JIP02/86 / ATCC 49511)	398
Q2JFA7	SUCC_FRACC	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Francci3_0651	Frankia casuarinae (strain DSM 45818 / CECT 9043 / CcI3)	388
A6VZ30	SUCC_MARMS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Mmwyl1_2797	Marinomonas sp. (strain MWYL1)	388
Q2SD35	SUCC_HAHCH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC HCH_04741	Hahella chejuensis (strain KCTC 2396)	388
Q2GEF1	SUCC_NEOSM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC NSE_0251	Neorickettsia sennetsu (strain ATCC VR-367 / Miyayama) (Ehrlichia sennetsu)	392
B9L5I6	SUCC_NAUPA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC NAMH_1231	Nautilia profundicola (strain ATCC BAA-1463 / DSM 18972 / AmH)	390
B8CR00	SUCC_SHEPW	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC swp_2947	Shewanella piezotolerans (strain WP3 / JCM 13877)	388
A8FX46	SUCC_SHESH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Ssed_2812	Shewanella sediminis (strain HAW-EB3)	388
Q080X8	SUCC_SHEFN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Sfri_2341	Shewanella frigidimarina (strain NCIMB 400)	388
Q2KYF7	SUCC_BORA1	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BAV2304	Bordetella avium (strain 197N)	386
Q65SV1	SUCC_MANSM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC MS1352	Mannheimia succiniciproducens (strain MBEL55E)	388
Q0C5F3	SUCC_HYPNA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC HNE_0310	Hyphomonas neptunium (strain ATCC 15444)	397
Q7N6V5	SUCC_PHOLL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC plu1432	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)	388
Q0S533	SUCC_RHOJR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RHA1_ro05573	Rhodococcus jostii (strain RHA1)	389
Q68WU5	SUCC_RICTY	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RT0420	Rickettsia typhi (strain ATCC VR-144 / Wilmington)	386
A1SWX6	SUCC_PSYIN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Ping_2250	Psychromonas ingrahamii (strain 37)	388
B4ST72	SUCC_STRM5	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Smal_3164	Stenotrophomonas maltophilia (strain R551-3)	389
Q30RQ3	SUCC_SULDN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Suden_1050	Sulfurimonas denitrificans (strain ATCC 33889 / DSM 1251) (Thiomicrospira denitrificans (strain ATCC 33889 / DSM 1251))	391
Q3YSV6	SUCC_EHRCJ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Ecaj_0148	Ehrlichia canis (strain Jake)	386
B2AHC1	SUCC_CUPTR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RALTA_A0502	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CIP 107171 / LMG 19424 / R1) (Ralstonia taiwanensis (strain LMG 19424))	388
Q2GFL7	SUCC_EHRCR	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ECH_0979	Ehrlichia chaffeensis (strain ATCC CRL-10679 / Arkansas)	387
B4ESR1	SUCC_PROMH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PMI0571	Proteus mirabilis (strain HI4320)	388
Q9EYG9	SUCC_RHIME	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC R03055 SMc02480	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	398
Q2J3G9	SUCC_RHOP2	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RPB_0280	Rhodopseudomonas palustris (strain HaA2)	398
Q92I21	SUCC_RICCN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RC0599	Rickettsia conorii (strain ATCC VR-613 / Malish 7)	386
A5EX54	SUCC_DICNV	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC DNO_1312	Dichelobacter nodosus (strain VCS1703A)	386
Q2N695	SUCC_ERYLH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ELI_13520	Erythrobacter litoralis (strain HTCC2594)	399
Q3SVK4	SUCC_NITWN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Nwi_0420	Nitrobacter winogradskyi (strain ATCC 25391 / DSM 10237 / CIP 104748 / NCIMB 11846 / Nb-255)	399
B5ZSR9	SUCC_RHILW	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Rleg2_3684	Rhizobium leguminosarum bv. trifolii (strain WSM2304)	397
Q07UX6	SUCC_RHOP5	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RPE_0299	Rhodopseudomonas palustris (strain BisA53)	399
Q7M9A6	SUCC_WOLSU	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC WS1065	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)	392
B2FRS3	SUCC_STRMK	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Smlt3753	Stenotrophomonas maltophilia (strain K279a)	389
B0TJP8	SUCC_SHEHH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Shal_2487	Shewanella halifaxensis (strain HAW-EB4)	388
A1S5I0	SUCC_SHEAM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Sama_1429	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	388
Q2S3H9	SUCC_SALRD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SRU_1125	Salinibacter ruber (strain DSM 13855 / M31)	392
A4VKQ1	SUCC_PSEU5	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PST_1878	Pseudomonas stutzeri (strain A1501)	388
A1RTB8	SUCC_PYRIL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Pisl_1026	Pyrobaculum islandicum (strain DSM 4184 / JCM 9189 / GEO3)	382
Q4ULQ7	SUCC_RICFE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RF_0665	Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) (Rickettsia azadi)	386
A5VB78	SUCC_SPHWW	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Swit_3197	Sphingomonas wittichii (strain RW1 / DSM 6014 / JCM 10273)	399
Q5HPU5	SUCC_STAEQ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SERP0813	Staphylococcus epidermidis (strain ATCC 35984 / RP62A)	388
Q3SKM1	SUCC_THIDA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Tbd_0805	Thiobacillus denitrificans (strain ATCC 25259)	386
B7VI35	SUCC_VIBTL	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC VS_2241	Vibrio tasmaniensis (strain LGP32) (Vibrio splendidus (strain Mel32))	388
Q0VPF7	SUCC_ALCBS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ABO_1493	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	389
C1DB55	SUCC_LARHH	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC LHK_02412	Laribacter hongkongensis (strain HLHK9)	388
A7HT39	SUCC_PARL1	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Plav_1452	Parvibaculum lavamentivorans (strain DS-1 / DSM 13023 / NCIMB 13966)	389
A4SND2	SUCC_AERS4	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ASA_2355	Aeromonas salmonicida (strain A449)	388
Q2GJ42	SUCC_ANAPZ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC APH_1052	Anaplasma phagocytophilum (strain HZ)	388
Q7VVU5	SUCC_BORPE	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BP2541	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	386
Q62MG7	SUCC_BURMA	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BMA0275	Burkholderia mallei (strain ATCC 23344)	388
B8GCC9	SUCC_CHLAD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Cagg_2086	Chloroflexus aggregans (strain MD-66 / DSM 9485)	382
C5BEM7	SUCC_EDWI9	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC NT01EI_2866	Edwardsiella ictaluri (strain 93-146)	388
C5BZT2	SUCC_BEUC1	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Bcav_3017	Beutenbergia cavernae (strain ATCC BAA-8 / DSM 12333 / NBRC 16432)	395
Q6D7G2	SUCC_PECAS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC ECA1363	Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	388
B3EN95	SUCC_CHLPB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Cphamn1_0667	Chlorobium phaeobacteroides (strain BS1)	391
B8GYZ1	SUCC_CAUVN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CCNA_00340	Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)	399
Q5L593	SUCC_CHLAB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC CAB752	Chlamydia abortus (strain DSM 27085 / S26/3) (Chlamydophila abortus)	386
A9BQA5	SUCC_DELAS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Daci_0869	Delftia acidovorans (strain DSM 14801 / SPH-1)	386
C1A8X8	SUCC_GEMAT	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC GAU_1646	Gemmatimonas aurantiaca (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505)	381
A6TKJ3	SUCC_ALKMQ	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Amet_0484	Alkaliphilus metalliredigens (strain QYMF)	397
Q65JP0	SUCC_BACLD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BLi01829 BL01285	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46)	386
A6Q391	SUCC_NITSB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC NIS_0838	Nitratiruptor sp. (strain SB155-2)	390
Q3IZ84	SUCC_RHOS4	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RHOS4_25820 RSP_0967	Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)	397
Q13DR5	SUCC_RHOPS	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC RPD_0536	Rhodopseudomonas palustris (strain BisB5)	399
A0LIY8	SUCC_SYNFM	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Sfum_1703	Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)	388
B1ZP17	SUCC_OPITP	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Oter_4233	Opitutus terrae (strain DSM 11246 / JCM 15787 / PB90-1)	393
Q4FP29	SUCC_PELUB	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC SAR11_0239	Pelagibacter ubique (strain HTCC1062)	386
A1TZS9	SUCC_MARHV	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Maqu_1157	Marinobacter hydrocarbonoclasticus (strain ATCC 700491 / DSM 11845 / VT8)	388
Q1I7L3	SUCC_PSEE4	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC PSEEN3636	Pseudomonas entomophila (strain L48)	388
Q3INN3	SUCC_NATPD	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC NP_4356A	Natronomonas pharaonis (strain ATCC 35678 / DSM 2160 / CIP 103997 / NBRC 14720 / NCIMB 2260 / Gabara) (Halobacterium pharaonis)	380
A1JRB6	SUCC_YERE8	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC YE2942	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	388
B9MHW0	SUCC_ACIET	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC Dtpsy_3392	Acidovorax ebreus (strain TPSY) (Diaphorobacter sp. (strain TPSY))	386
